LoanId,LoanDate,DueDate,ReturnDate,UserId,UserName,UserMail,UserTitle,AllowedLoanDurationDays,BookId,ISBN,BookTitle,Authors,Genres,Publisher,PublishedYear,CopyNumber,CopyStatus,CopyCondition,BookshelfId,BranchName,Room,Row,Shelf,ShelfCapacity,ReservationId,ReservationDate,ReservationStatus,ReservedByUserId,ReservedByUserName,ReservedByUserTitle,FineId,FineDate,FineAmountDKK,FineReason
L001,2026-02-01,2026-02-22,,U001,Anna Madsen,anna.madsen@citylib.dk,Student,30,B001,9788700000011,Clean Code,Robert C. Martin,Software Development;Programming,Pearson,2008,C001,Available,Good,BS01,North Branch,N-201,2,A,32,R001,,,,,,,,,,
L002,2026-02-03,2026-02-24,2026-02-20,U002,Jonas Vester,jonas.vester@citylib.dk,Teacher,60,B002,9788700000012,Design Patterns,Erich Gamma;Richard Helm;Ralph Johnson;John Vlissides,Software Development;Architecture,Addison-Wesley,1994,C001,Loaned,Worn,BS02,North Branch,N-201,2,B,28,,,,,,,,,,
L003,2026-02-05,2026-02-26,,U003,Maja Holm,maja.holm@citylib.dk,Guest,14,B003,9788700000013,Database System Concepts,Abraham Silberschatz;Henry F. Korth;S. Sudarshan,Databases;Education,McGraw-Hill,2019,C001,Loaned,Good,BS03,South Branch,S-105,1,C,24,R002,2026-02-18,Pending,U006,Sara Bruun,Student,,,,
L004,2026-02-07,2026-02-28,,U004,Lars Knudsen,lars.knudsen@citylib.dk,Researcher,90,B004,9788700000014,The Pragmatic Programmer,Andrew Hunt;David Thomas,Software Development;Career,Addison-Wesley,1999,C002,Loaned,Good,BS01,North Branch,N-201,2,A,32,,,,,,,,,,
L005,2026-02-08,2026-03-10,,U005,Ida Nissen,ida.nissen@citylib.dk,Citizen,21,B005,9788700000015,Introduction to Algorithms,Thomas H. Cormen;Charles E. Leiserson;Ronald L. Rivest;Clifford Stein,Algorithms;Education,MIT Press,2009,C001,Loaned,Good,BS04,Central Branch,C-310,3,D,20,,,,,,,,,,
L006,2026-02-10,2026-03-03,,U001,Anna Madsen,anna.madsen@citylib.dk,Student,30,B006,9788700000016,Refactoring,Martin Fowler,Software Development;Programming,Addison-Wesley,2018,C001,Loaned,Damaged,BS05,Central Branch,C-210,2,B,30,,,,,,,,,,
L007,2026-02-12,2026-03-05,2026-03-07,U006,Sara Bruun,sara.bruun@citylib.dk,Student,30,B007,9788700000017,Domain-Driven Design,Eric Evans,Architecture;Software Development,Pearson,2003,C002,Returned,Good,BS06,South Branch,S-220,2,E,18,,,,,,,,F001,2026-03-07,25,Late return
L008,2026-02-15,2026-03-08,,U007,Emil Frank,emil.frank@citylib.dk,Citizen,21,B008,9788700000018,Clean Architecture,Robert C. Martin,Architecture;Programming,Pearson,2017,C001,Loaned,Good,BS02,North Branch,N-201,2,B,28,,,,,,,,,,
L009,2026-02-17,2026-03-19,,U008,Sofie Birk,sofie.birk@citylib.dk,Teacher,60,B009,9788700000019,Head First Design Patterns,Eric Freeman;Elisabeth Robson,Programming;Education,O'Reilly,2020,C001,Loaned,Good,BS07,Central Branch,C-115,1,A,26,R003,2026-03-01,Waiting,U003,Maja Holm,Guest,,,,
L010,2026-02-20,2026-03-13,,U009,Noah Lund,noah.lund@citylib.dk,Student,30,B010,9788700000020,Working Effectively with Legacy Code,Michael Feathers,Programming;Maintenance,Prentice Hall,2004,C001,Loaned,Good,BS05,Central Branch,C-210,2,B,30,,,,,,,,,,
L011,2026-02-21,2026-03-23,,U010,Freja Dahl,freja.dahl@citylib.dk,Citizen,21,B011,9788700000021,Computer Networks,Andrew S. Tanenbaum,Networking;Education,Pearson,2011,C002,Loaned,Good,BS08,North Branch,N-110,1,D,22,,,,,,,,,,
L012,2026-02-22,2026-03-24,,U011,Oliver Stage,oliver.stage@citylib.dk,Researcher,90,B012,9788700000022,Operating System Concepts,Abraham Silberschatz;Peter B. Galvin;Greg Gagne,Operating Systems;Education,Wiley,2018,C001,Loaned,Good,BS09,South Branch,S-330,3,F,16,,,,,,,,,,
L013,2026-02-24,2026-03-26,,U012,Clara Munch,clara.munch@citylib.dk,Teacher,60,B013,9788700000023,Artificial Intelligence: A Modern Approach,Stuart Russell;Peter Norvig,Artificial Intelligence;Education,Pearson,2021,C001,Loaned,Good,BS10,Central Branch,C-410,4,A,14,,,,,,,,,,
L014,2026-02-26,2026-03-19,,U013,Victor Bach,victor.bach@citylib.dk,Guest,14,B014,9788700000024,You Don't Know JS Yet,Kyle Simpson,JavaScript;Programming,O'Reilly,2020,C002,Loaned,Good,BS07,Central Branch,C-115,1,A,26,,,,,,,,,,
L015,2026-02-28,2026-03-30,,U014,Laura Hviid,laura.hviid@citylib.dk,Citizen,21,B015,9788700000025,Deep Learning,Ian Goodfellow;Yoshua Bengio;Aaron Courville,Artificial Intelligence;Machine Learning,MIT Press,2016,C001,Loaned,Good,BS10,Central Branch,C-410,4,A,14,R004,2026-03-10,Pending,U015,Nikolaj Balle,Student,,,,
L016,2026-03-01,2026-03-31,,U016,Asta Riis,asta.riis@citylib.dk,Researcher,90,B016,9788700000026,"Compilers: Principles, Techniques, and Tools",Alfred V. Aho;Monica S. Lam;Ravi Sethi;Jeffrey D. Ullman,Compilers;Education,Pearson,2006,C001,Loaned,Worn,BS11,South Branch,S-410,4,C,12,,,,,,,,,,
L017,2026-03-03,2026-03-24,,U017,Magnus Vang,magnus.vang@citylib.dk,Student,30,B017,9788700000027,The Mythical Man-Month,Frederick P. Brooks Jr.,Project Management;Software Engineering,Addison-Wesley,1995,C001,Loaned,Good,BS08,North Branch,N-110,1,D,22,,,,,,,,,,
L018,2026-03-04,2026-03-25,,U018,Julie Frost,julie.frost@citylib.dk,Teacher,60,B018,9788700000028,Cracking the Coding Interview,Gayle Laakmann McDowell,Interviews;Programming,CareerCup,2015,C001,Loaned,Good,BS12,Central Branch,C-125,1,C,24,,,,,,,,,,
L019,2026-03-06,2026-03-27,,U019,Mathias Krogh,mathias.krogh@citylib.dk,Citizen,21,B019,9788700000029,System Design Interview,Alex Xu,Architecture;Interviews,Independently Published,2020,C001,Loaned,Good,BS12,Central Branch,C-125,1,C,24,,,,,,,,,,
L020,2026-03-08,2026-04-07,,U020,Nora Bech,nora.bech@citylib.dk,Researcher,90,B020,9788700000030,Patterns of Enterprise Application Architecture,Martin Fowler,Architecture;Enterprise,Addison-Wesley,2002,C001,Loaned,Good,BS06,South Branch,S-220,2,E,18,,,,,,,,,,
